Data sets,KNU,KNE,DSP,MDS,WVE
yeast1SMEN,0.7026,0.692,0.7046,0.651,0.6836
SM,0.6772,0.646,0.6743,0.701,0.6826
ADS,0.689,0.634,0.657,0.592,0.641
CC,0.6797,0.661,0.666,0.5845,0.6694
ROS,0.661,0.6567,0.6875,0.6597,0.6816
vehicle0SMEN,0.8438,0.876,0.8623,0.939,0.6816
SM,0.9307,0.9595,0.872,0.919,0.926
ADS,0.9165,0.8823,0.9233,0.905,0.9272
CC,0.8135,0.9253,0.8467,0.826,0.879
ROS,0.919,0.884,0.87,0.9126,0.898
segment0SMEN,0.975,0.9785,0.987,0.989,0.9653
SM,0.982,0.992,0.9814,0.9814,0.981
ADS,0.9805,0.968,0.977,0.9824,0.9824
CC,0.967,0.9585,0.977,0.962,0.8823
ROS,0.9785,0.9937,0.9795,0.98,0.983
page_blocks0SMEN,0.9443,0.9414,0.9404,0.944,0.926
SM,0.9395,0.9336,0.9624,0.935,0.901
ADS,0.938,0.9277,0.9326,0.9634,0.9743
CC,0.8477,0.836,0.8213,0.8364,0.8432
ROS,0.962,0.948,0.952,0.9697,0.934
yeast4SMEN,0.783,0.6655,0.861,0.829,0.8325
SM,0.7886,0.875,0.732,0.608,0.837
ADS,0.7944,0.6514,0.761,0.7383,0.8677
CC,0.661,0.4072,0.718,0.7114,0.83
ROS,0.7446,0.7466,0.6772,0.771,0.8003
yeast6SMEN,0.724,0.9116,0.8228,0.7246,0.7886
SM,0.853,0.8403,0.806,0.7437,0.787
ADS,0.834,0.508,0.796,0.8184,0.844
CC,0.903,0.7856,0.649,0.74,0.7983
ROS,0.7573,0.802,0.7344,0.792,0.8223
wineSMEN,0.529,0.614,0.696,0.4558,0.7056
SM,0.3552,0.3826,0.4644,0.3333,0.4575
ADS,0.4038,0.5513,0.4893,0.5107,0.596
CC,0.6904,0.574,0.506,0.5933,0.509
ROS,0.461,0.4517,0.3953,0.2993,0.5283
pokerSMEN,0.857,0.7036,0.3313,0.4463,0.4768
SM,0.7744,0.926,0.9307,0.6455,0.3625
ADS,0.6455,0.3267,0.8286,0.999,0.3237
CC,0.5117,0.4973,0.2852,0.718,0
ROS,0,0,0.332,0.3015,0
